size,ants,alpha,beta,evap,q,lenght,error,goal,durartion
101,20,0,0,0.5,803,2877,-2248,629,2.51739
101,20,0,1,0.5,803,2055,-1426,629,2.74531
101,20,0,2,0.5,803,1362,-733,629,2.87975
101,20,0,3,0.5,803,955,-326,629,3.00323
101,20,0,4,0.5,803,829,-200,629,2.97493
101,20,0,5,0.5,803,774,-145,629,3.13183
101,20,0,6,0.5,803,739,-110,629,3.48729
101,20,0,7,0.5,803,730,-101,629,3.47622
101,20,0,8,0.5,803,712,-83,629,3.57368
101,20,0,9,0.5,803,709,-80,629,3.55985
101,20,0,10,0.5,803,698,-69,629,3.53302
101,20,0,11,0.5,803,715,-86,629,3.56505
101,20,0,12,0.5,803,699,-70,629,3.59255
101,20,0,13,0.5,803,700,-71,629,3.54157
101,20,0,14,0.5,803,703,-74,629,3.63137
101,20,1,0,0.5,803,2854,-2225,629,3.32098
101,20,1,1,0.5,803,810,-181,629,3.73981
101,20,1,2,0.5,803,720,-91,629,3.8932
101,20,1,3,0.5,803,724,-95,629,4.00381
101,20,1,4,0.5,803,701,-72,629,4.0544
101,20,1,5,0.5,803,705,-76,629,4.00086
101,20,1,6,0.5,803,703,-74,629,3.8878
101,20,1,7,0.5,803,709,-80,629,3.81233
101,20,1,8,0.5,803,694,-65,629,3.72094
101,20,1,9,0.5,803,698,-69,629,3.41956
101,20,1,10,0.5,803,711,-82,629,4.08502
101,20,1,11,0.5,803,713,-84,629,3.8771
101,20,1,12,0.5,803,711,-82,629,4.10475
101,20,1,13,0.5,803,699,-70,629,4.1267
101,20,1,14,0.5,803,695,-66,629,3.98645
101,20,2,0,0.5,803,2926,-2297,629,3.42888
101,20,2,1,0.5,803,796,-167,629,3.65985
101,20,2,2,0.5,803,737,-108,629,4.11652
101,20,2,3,0.5,803,703,-74,629,4.04191
101,20,2,4,0.5,803,726,-97,629,4.1349
101,20,2,5,0.5,803,687,-58,629,4.15947
101,20,2,6,0.5,803,715,-86,629,4.1574
101,20,2,7,0.5,803,715,-86,629,4.12939
101,20,2,8,0.5,803,701,-72,629,4.18299
101,20,2,9,0.5,803,697,-68,629,4.1303
101,20,2,10,0.5,803,719,-90,629,3.62747
101,20,2,11,0.5,803,717,-88,629,3.66277
101,20,2,12,0.5,803,691,-62,629,3.59785
101,20,2,13,0.5,803,715,-86,629,3.63812
101,20,2,14,0.5,803,702,-73,629,3.58269
101,20,3,0,0.5,803,2924,-2295,629,3.2133
101,20,3,1,0.5,803,942,-313,629,3.55953
101,20,3,2,0.5,803,796,-167,629,3.70067
101,20,3,3,0.5,803,739,-110,629,3.83805
101,20,3,4,0.5,803,725,-96,629,3.74349
101,20,3,5,0.5,803,737,-108,629,3.63773
101,20,3,6,0.5,803,743,-114,629,3.69006
101,20,3,7,0.5,803,692,-63,629,3.7015
101,20,3,8,0.5,803,732,-103,629,3.81543
101,20,3,9,0.5,803,719,-90,629,3.83067
101,20,3,10,0.5,803,719,-90,629,3.83124
101,20,3,11,0.5,803,730,-101,629,3.74257
101,20,3,12,0.5,803,695,-66,629,3.72344
101,20,3,13,0.5,803,714,-85,629,3.92972
101,20,3,14,0.5,803,715,-86,629,3.99048
101,20,4,0,0.5,803,2984,-2355,629,3.151
101,20,4,1,0.5,803,968,-339,629,3.54847
101,20,4,2,0.5,803,781,-152,629,3.80131
101,20,4,3,0.5,803,780,-151,629,3.7003
101,20,4,4,0.5,803,752,-123,629,3.75332
101,20,4,5,0.5,803,762,-133,629,3.87645
101,20,4,6,0.5,803,744,-115,629,3.82201
101,20,4,7,0.5,803,726,-97,629,3.90885
101,20,4,8,0.5,803,738,-109,629,4.79004
101,20,4,9,0.5,803,716,-87,629,4.43791
101,20,4,10,0.5,803,732,-103,629,4.39896
101,20,4,11,0.5,803,724,-95,629,3.64518
101,20,4,12,0.5,803,730,-101,629,3.62642
101,20,4,13,0.5,803,729,-100,629,3.86323
101,20,4,14,0.5,803,715,-86,629,3.47086
101,20,5,0,0.5,803,2984,-2355,629,3.36431
101,20,5,1,0.5,803,1004,-375,629,3.80882
101,20,5,2,0.5,803,805,-176,629,3.9436
101,20,5,3,0.5,803,767,-138,629,4.3677
101,20,5,4,0.5,803,716,-87,629,4.29931
101,20,5,5,0.5,803,761,-132,629,3.76001
101,20,5,6,0.5,803,734,-105,629,3.77427
101,20,5,7,0.5,803,735,-106,629,6.20609
101,20,5,8,0.5,803,699,-70,629,3.87091
101,20,5,9,0.5,803,719,-90,629,4.45954
101,20,5,10,0.5,803,726,-97,629,4.32607
101,20,5,11,0.5,803,749,-120,629,4.07163
101,20,5,12,0.5,803,725,-96,629,4.07091
101,20,5,13,0.5,803,738,-109,629,4.00473
101,20,5,14,0.5,803,736,-107,629,4.11213
101,20,6,0,0.5,803,2975,-2346,629,3.39141
101,20,6,1,0.5,803,1087,-458,629,3.84068
101,20,6,2,0.5,803,861,-232,629,3.62817
101,20,6,3,0.5,803,755,-126,629,3.93373
101,20,6,4,0.5,803,752,-123,629,3.93907
101,20,6,5,0.5,803,740,-111,629,3.74648
101,20,6,6,0.5,803,764,-135,629,3.77334
101,20,6,7,0.5,803,761,-132,629,4.40775
101,20,6,8,0.5,803,738,-109,629,4.08088
101,20,6,9,0.5,803,720,-91,629,3.9424
101,20,6,10,0.5,803,705,-76,629,4.08989
101,20,6,11,0.5,803,749,-120,629,4.02256
101,20,6,12,0.5,803,711,-82,629,4.07978
101,20,6,13,0.5,803,752,-123,629,4.55526
101,20,6,14,0.5,803,740,-111,629,3.62733
101,20,7,0,0.5,803,2984,-2355,629,3.25361
